value_kind,group,feature,count,min,p05,p25,median,mean,p75,p95,max,std,unique_count,pct_exact_0,pct_exact_1,pct_near_0,pct_near_1
raw,generalized,tactical_density,148,0.0,0.00391355,0.014863499999999998,0.107697,0.14737181756756756,0.2681665,0.4317140500000002,0.652,0.14519800590093723,140,0.6756756756756757,0.0,35.13513513513514,0.0
raw,generalized,quiet_position_density,148,0.48515,0.8162522,0.95855425,0.984939,0.9575285,0.9901745000000001,0.9959095,0.996919,0.06714658337804387,113,0.0,0.0,0.0,77.70270270270271
raw,generalized,king_safety_risk,148,0.017,0.023,0.027667,0.029,0.03770047972972973,0.029,0.0869164500000001,0.376667,0.042773330103008586,16,0.0,0.0,91.21621621621621,0.0
raw,generalized,early_castling_tendency,148,0.21125,0.4225,0.43306225000000004,0.47125,0.4874145945945946,0.5151249999999999,0.6292000000000001,0.91375,0.08448884238048897,80,0.0,0.0,0.0,0.0
raw,generalized,opposite_side_castling_tendency,148,0.0,0.0,0.0,0.0825,0.12776350675675677,0.2145,0.4074585500000001,0.44,0.13911618897028058,39,41.21621621621622,0.0,41.21621621621622,0.0
raw,generalized,middlegame_complexity,148,0.318664,0.3309118,0.35464125,0.3751645,0.3817656891891892,0.40399725,0.4492132,0.582487,0.039805785371117904,146,0.0,0.0,0.0,0.0
raw,generalized,pawn_structure_sharpness,148,0.05,0.05,0.05,0.05,0.14987331756756755,0.2625,0.3,0.375,0.11023200143101368,25,0.0,0.0,50.67567567567568,0.0
raw,generalized,material_imbalance,148,0.0,0.0,0.0,0.015094,0.026850858108108108,0.035,0.08871875000000001,0.357625,0.04801892307655982,20,46.62162162162162,0.0,85.13513513513513,0.0
raw,generalized,endgame_likelihood_proxy,148,0.413373,0.50713425,0.577655,0.604109,0.5880606621621621,0.61555125,0.6173192000000001,0.618537,0.04092616313071727,148,0.0,0.0,0.0,0.0
raw,white,white_tactical_density,148,0.001388,0.0024071,0.0063995,0.0724605,0.1096844527027027,0.170764,0.34838910000000006,0.466955,0.11626274431638663,143,0.0,0.0,43.24324324324324,0.0
raw,white,white_quiet_position_density,148,0.535551,0.8261197499999999,0.96866475,0.988472,0.9609827297297298,0.99210475,0.99696575,0.997786,0.06933449935712115,122,0.0,0.0,0.0,81.08108108108108
raw,white,white_king_safety_risk,148,0.0,0.017,0.023,0.029,0.032497770270270274,0.029,0.06,0.17,0.02553723909554242,15,1.3513513513513513,0.0,91.89189189189189,0.0
raw,white,white_early_castling_tendency,148,0.0,0.4225,0.4225,0.47125,0.48738974324324325,0.52,0.6175,1.0,0.10461271615919526,57,0.6756756756756757,1.3513513513513513,0.6756756756756757,1.3513513513513513
raw,white,white_opposite_side_castling_tendency,148,0.0,0.0,0.0,0.0825,0.12776350675675677,0.2145,0.4074585500000001,0.44,0.13911618897028058,39,41.21621621621622,0.0,41.21621621621622,0.0
raw,white,white_middlegame_complexity,148,0.318664,0.3309118,0.35464125,0.3751645,0.3817656891891892,0.40399725,0.4492132,0.582487,0.039805785371117904,146,0.0,0.0,0.0,0.0
raw,white,white_pawn_structure_sharpness,148,0.0375,0.0375,0.0375,0.0375,0.1321579391891892,0.25234375,0.2875,0.3375,0.10875867214712473,17,0.0,0.0,51.351351351351354,0.0
raw,white,white_material_imbalance,148,0.0,0.0,0.0,0.03125,0.053873310810810815,0.1,0.2,0.3425,0.07299968470302616,19,46.62162162162162,0.0,70.27027027027027,0.0
