opening_name,line_count,eco_values,representative_pgn,representative_uci,raw_tactical_density,raw_quiet_position_density,raw_king_safety_risk,raw_early_castling_tendency,raw_opposite_side_castling_tendency,raw_middlegame_complexity,raw_pawn_structure_sharpness,raw_material_imbalance,raw_endgame_likelihood_proxy,raw_white_tactical_density,raw_white_quiet_position_density,raw_white_king_safety_risk,raw_white_early_castling_tendency,raw_white_opposite_side_castling_tendency,raw_white_middlegame_complexity,raw_white_pawn_structure_sharpness,raw_white_material_imbalance,raw_white_endgame_likelihood_proxy,raw_black_tactical_density,raw_black_quiet_position_density,raw_black_king_safety_risk,raw_black_early_castling_tendency,raw_black_opposite_side_castling_tendency,raw_black_middlegame_complexity,raw_black_pawn_structure_sharpness,raw_black_material_imbalance,raw_black_endgame_likelihood_proxy,tactical_density,quiet_position_density,king_safety_risk,early_castling_tendency,opposite_side_castling_tendency,middlegame_complexity,pawn_structure_sharpness,material_imbalance,endgame_likelihood_proxy,white_tactical_density,white_quiet_position_density,white_king_safety_risk,white_early_castling_tendency,white_opposite_side_castling_tendency,white_middlegame_complexity,white_pawn_structure_sharpness,white_material_imbalance,white_endgame_likelihood_proxy,black_tactical_density,black_quiet_position_density,black_king_safety_risk,black_early_castling_tendency,black_opposite_side_castling_tendency,black_middlegame_complexity,black_pawn_structure_sharpness,black_material_imbalance,black_endgame_likelihood_proxy,raw_final_structure_entropy,final_structure_entropy,raw_structure_diversity,structure_diversity,structure_distribution
Alekhine Defense,5,B02,1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. c5 Nd5 5. Bc4 e6 6. Nc3,e2e4 g8f6 e4e5 f6d5 c2c4 d5b6 c4c5 b6d5 f1c4 e7e6 b1c3,0.122606,0.985752,0.029,0.468,0.154,0.37786,0.05,0.0,0.606025,0.100744,0.989763,0.029,0.455,0.154,0.37786,0.0375,0.0,0.612905,0.014785,0.989763,0.029,0.481,0.154,0.37786,0.0375,0.0,0.615498,0.578231,0.537415,0.578231,0.435374,0.642857,0.537415,0.251701,0.231293,0.517007,0.571429,0.598639,0.62585,0.442177,0.642857,0.537415,0.255102,0.231293,0.55102,0.306122,0.557823,0.690476,0.530612,0.642857,0.537415,0.258503,0.231293,0.687075,0.310918,0.310918,0.310918,0.310918,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":4,""0|0|0|0|0|0|1|1|0|0|0|0|1"":1}"
Amar Opening,3,A00,1. Nh3 d5 2. g3 e5 3. f4 Bxh3 4. Bxh3 exf4 5. O-O fxg3 6. hxg3,g1h3 d7d5 g2g3 e7e5 f2f4 c8h3 f1h3 e5f4 e1g1 f4g3 h2g3,0.241394,0.9886,0.093333,0.554861,0.1375,0.369302,0.146875,0.200625,0.612264,0.157741,0.990789,0.093333,0.665556,0.1375,0.369302,0.15,0.2875,0.61387,0.205782,0.988522,0.029,0.444167,0.1375,0.369302,0.09375,0.2875,0.61657,0.727891,0.680272,0.952381,0.891156,0.561224,0.408163,0.544218,0.979592,0.585034,0.693878,0.680272,0.965986,0.965986,0.561224,0.408163,0.605442,0.979592,0.564626,0.816327,0.47619,0.690476,0.360544,0.561224,0.408163,0.534014,0.979592,0.789116,0.57938,0.57938,0.57938,0.57938,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":2,""1|0|0|0|0|0|2|2|0|2|1|0|0"":1}"
Amazon Attack,2,A45;D00,1. d4 Nf6 2. Nc3 d5 3. Qd3,d2d4 g8f6 b1c3 d7d5 d1d3,0.011716,0.992481,0.029,0.495625,0.39875,0.353313,0.3,0.0,0.60156,0.025701,0.992674,0.025,0.52,0.39875,0.353313,0.2875,0.0,0.599953,0.004945,0.993888,0.029,0.47125,0.39875,0.353313,0.2875,0.0,0.602163,0.238095,0.809524,0.578231,0.639456,0.938776,0.244898,0.87415,0.231293,0.435374,0.380952,0.768707,0.302721,0.755102,0.938776,0.244898,0.87415,0.231293,0.360544,0.22449,0.823129,0.690476,0.465986,0.938776,0.244898,0.863946,0.231293,0.414966,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|1"":2}"
Amsterdam Attack,1,A00,1. e3 e5 2. c4 d6 3. Nc3 Nc6 4. b3 Nf6,e2e3 e7e5 c2c4 d7d6 b1c3 b8c6 b2b3 g8f6,0.002455,0.995599,0.027667,0.482083,0.375833,0.390465,0.05,0.0,0.616328,0.002245,0.996157,0.027667,0.444167,0.375833,0.390465,0.0375,0.0,0.616364,0.002245,0.996157,0.023,0.52,0.375833,0.390465,0.0375,0.0,0.617064,0.020408,0.911565,0.255102,0.554422,0.914966,0.646259,0.251701,0.231293,0.816327,0.040816,0.918367,0.346939,0.391156,0.914966,0.646259,0.255102,0.231293,0.734694,0.027211,0.931973,0.180272,0.768707,0.914966,0.646259,0.258503,0.231293,0.857143,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":1}"
Anderssen's Opening,2,A00,1. a3 a5 2. b4,a2a3 a7a5 b2b4,0.048102,0.982714,0.029,0.4225,0.0,0.322845,0.05,0.019688,0.612587,0.03062,0.987876,0.029,0.4225,0.0,0.322845,0.0375,0.0375,0.613995,0.03062,0.987876,0.029,0.4225,0.0,0.322845,0.0375,0.0375,0.613995,0.340136,0.367347,0.578231,0.091837,0.204082,0.006803,0.251701,0.517007,0.605442,0.394558,0.421769,0.62585,0.146259,0.204082,0.006803,0.255102,0.517007,0.578231,0.367347,0.414966,0.690476,0.132653,0.204082,0.006803,0.258503,0.517007,0.585034,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":2}"
Australian Defense,1,A40,1. d4 Na6,d2d4 b8a6,0.008455,0.990269,0.029,0.455,0.3575,0.3285,0.05,0.0,0.614822,0.003144,0.992682,0.029,0.4225,0.3575,0.3285,0.0375,0.0,0.615725,0.003144,0.992682,0.025,0.4875,0.3575,0.3285,0.0375,0.0,0.616325,0.163265,0.758503,0.578231,0.346939,0.880952,0.027211,0.251701,0.231293,0.673469,0.156463,0.778912,0.62585,0.146259,0.880952,0.027211,0.255102,0.231293,0.687075,0.136054,0.755102,0.357143,0.571429,0.880952,0.027211,0.258503,0.231293,0.755102,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":1}"
Barnes Defense,1,B00,1. e4 f6,e2e4 f7f6,0.052091,0.985752,0.029,0.4225,0.0,0.336128,0.05,0.0,0.607749,0.047825,0.989763,0.029,0.4225,0.0,0.336128,0.0375,0.0,0.608474,0.002825,0.989763,0.029,0.4225,0.0,0.336128,0.0375,0.0,0.616124,0.360544,0.537415,0.578231,0.091837,0.204082,0.102041,0.251701,0.231293,0.52381,0.421769,0.598639,0.62585,0.146259,0.204082,0.102041,0.255102,0.231293,0.510204,0.115646,0.557823,0.690476,0.132653,0.204082,0.102041,0.258503,0.231293,0.741497,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":1}"
Barnes Opening,5,A00,1. f3 d5 2. e4 g6 3. d4 dxe4 4. c3,f2f3 d7d5 e2e4 g7g6 d2d4 d5e4 c2c3,0.25,0.984125,0.17,0.39325,0.0,0.38061,0.16875,0.06125,0.588279,0.118667,0.988029,0.17,0.351,0.0,0.38061,0.0875,0.15,0.60455,0.237737,0.987982,0.029,0.4355,0.0,0.38061,0.1875,0.15,0.598609,0.741497,0.42517,0.979592,0.013605,0.204082,0.55102,0.571429,0.891156,0.306122,0.619048,0.469388,0.996599,0.006803,0.204082,0.55102,0.52381,0.897959,0.469388,0.870748,0.462585,0.690476,0.285714,0.204082,0.55102,0.646259,0.897959,0.326531,0.418166,0.418166,0.418166,0.418166,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":3,""0|0|0|1|0|0|2|2|0|1|1|0|0"":2}"
Benko Gambit,5,A57,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. Nc3 axb5 6. e4 b4 7. Nb5 d6 8. Bc4,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 b1c3 a6b5 e2e4 b5b4 c3b5 d7d6 f1c4,0.363818,0.841437,0.06,0.430833,0.075167,0.432233,0.2125,0.0875,0.532611,0.268028,0.882347,0.06,0.389667,0.075167,0.432233,0.1875,0.2,0.563906,0.350751,0.80606,0.06,0.472,0.075167,0.432233,0.1875,0.2,0.554439,0.904762,0.07483,0.92517,0.217687,0.462585,0.908163,0.608844,0.938776,0.108844,0.877551,0.108844,0.942177,0.013605,0.462585,0.908163,0.64966,0.94898,0.183673,0.993197,0.027211,0.955782,0.479592,0.462585,0.908163,0.646259,0.94898,0.136054,0.827729,0.827729,0.827729,0.827729,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":2,""0|0|0|0|0|0|2|1|0|1|1|0|0"":1,""0|0|0|0|0|0|2|1|0|1|1|0|1"":1,""0|1|1|0|0|0|2|2|0|1|1|0|0"":1}"
Benko Gambit Accepted,5,A57;A58,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 g6 6. Nc3 Bxa6 7. f4,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 b5a6 g7g6 b1c3 c8a6 f2f4,0.323545,0.854319,0.029,0.473417,0.075167,0.432233,0.2125,0.0875,0.492535,0.238014,0.951238,0.029,0.426833,0.075167,0.432233,0.1875,0.2,0.50483,0.290356,0.825946,0.023,0.52,0.075167,0.432233,0.1875,0.2,0.49671,0.836735,0.095238,0.578231,0.517007,0.462585,0.908163,0.608844,0.938776,0.040816,0.843537,0.197279,0.62585,0.27551,0.462585,0.908163,0.64966,0.94898,0.047619,0.945578,0.047619,0.180272,0.768707,0.462585,0.908163,0.646259,0.94898,0.020408,0.590436,0.590436,0.590436,0.590436,"{""0|0|0|0|1|0|2|1|0|1|2|0|0"":1,""0|1|1|0|0|0|2|2|0|1|1|0|0"":3,""0|1|1|0|1|0|2|2|0|1|1|0|0"":1}"
