position_epd,fen,total_games,covered_games,coverage,moves_json,white_practical_gamble_raw,white_practical_gamble,white_practical_gamble_games,white_practical_gamble_coverage,black_practical_gamble_raw,black_practical_gamble,black_practical_gamble_games,black_practical_gamble_coverage
1nbqkb1r/1ppp1ppp/4pn2/1P6/8/8/1BPPPPPP/rN1QKBNR w Kk -,1nbqkb1r/1ppp1ppp/4pn2/1P6/8/8/1BPPPPPP/rN1QKBNR w Kk - 0 6,10970,10970,1.0,"[{""games"":10963,""share"":0.9993618960802187,""uci"":""b2a1""},{""games"":5,""share"":0.00045578851412944393,""uci"":""e2e3""},{""games"":2,""share"":0.00018231540565177758,""uci"":""c2c4""}]",0.0035983137782722996,0.20657848938391926,11345,1.0,0.00012322695818911544,0.010964148973198747,10970,1.0
1nbqkb1r/1ppp1ppp/4pn2/1P6/8/8/2PPPPPP/BN1QKBNR b Kk -,1nbqkb1r/1ppp1ppp/4pn2/1P6/8/8/2PPPPPP/BN1QKBNR b Kk - 0 6,11345,11345,1.0,"[{""games"":4015,""share"":0.3539003966505068,""uci"":""c7c6""},{""games"":2926,""share"":0.2579109739973557,""uci"":""d7d5""},{""games"":1157,""share"":0.10198325253415602,""uci"":""b7b6""},{""games"":1130,""share"":0.09960334949316879,""uci"":""f8e7""},{""games"":1014,""share"":0.08937858087263112,""uci"":""f8c5""},{""games"":286,""share"":0.0252093433230498,""uci"":""c7c5""},{""games"":261,""share"":0.023005729396209783,""uci"":""d7d6""},{""games"":212,""share"":0.01868664609960335,""uci"":""f8b4""},{""games"":136,""share"":0.011987659762009696,""uci"":""d8e7""},{""games"":120,""share"":0.010577346848832084,""uci"":""g7g6""},{""games"":48,""share"":0.0042309387395328335,""uci"":""f8d6""},{""games"":14,""share"":0.0012340237990304099,""uci"":""f6d5""},{""games"":8,""share"":0.0007051564565888057,""uci"":""f8a3""},{""games"":6,""share"":0.0005288673424416042,""uci"":""f6e4""},{""games"":5,""share"":0.00044072278536800354,""uci"":""e8e7""},{""games"":4,""share"":0.00035257822829440284,""uci"":""h7h6""},{""games"":2,""share"":0.00017628911414720142,""uci"":""g7g5""},{""games"":1,""share"":8.814455707360071e-05,""uci"":""b8c6""}]",0.0035983137782722996,0.20657848938391926,11345,1.0,0.0023494951738668446,0.12996867386007657,4022,1.0
1r1q1rk1/pp1bppbp/2np1np1/8/2BNP3/2N1BP2/PPPQ2PP/2KR3R w - -,1r1q1rk1/pp1bppbp/2np1np1/8/2BNP3/2N1BP2/PPPQ2PP/2KR3R w - - 7 11,4045,4045,1.0,"[{""games"":1302,""share"":0.3218788627935723,""uci"":""h2h4""},{""games"":929,""share"":0.22966625463535228,""uci"":""g2g4""},{""games"":907,""share"":0.2242274412855377,""uci"":""c4b3""},{""games"":535,""share"":0.13226205191594562,""uci"":""c1b1""},{""games"":153,""share"":0.037824474660074166,""uci"":""e3h6""},{""games"":120,""share"":0.029666254635352288,""uci"":""d4c6""},{""games"":19,""share"":0.004697156983930779,""uci"":""a2a3""},{""games"":18,""share"":0.004449938195302843,""uci"":""d4e2""},{""games"":17,""share"":0.004202719406674907,""uci"":""c3d5""},{""games"":13,""share"":0.0032138442521631645,""uci"":""d4b3""},{""games"":7,""share"":0.00173053152039555,""uci"":""a2a4""},{""games"":6,""share"":0.0014833127317676143,""uci"":""c4e2""},{""games"":5,""share"":0.0012360939431396785,""uci"":""h1e1""},{""games"":4,""share"":0.000988875154511743,""uci"":""h2h3""},{""games"":3,""share"":0.0007416563658838071,""uci"":""d2e2""},{""games"":1,""share"":0.00024721878862793575,""uci"":""g2g3""},{""games"":1,""share"":0.00024721878862793575,""uci"":""d1g1""},{""games"":1,""share"":0.00024721878862793575,""uci"":""d4b5""},{""games"":1,""share"":0.00024721878862793575,""uci"":""d2f2""},{""games"":1,""share"":0.00024721878862793575,""uci"":""f3f4""},{""games"":1,""share"":0.00024721878862793575,""uci"":""c4d5""},{""games"":1,""share"":0.00024721878862793575,""uci"":""c4b5""}]",0.011560464268594584,0.6619561434041072,1663,1.0,0.011394564860849221,0.6561085972850679,4045,1.0
1r1qkbnr/pppnpppp/3p4/8/2PP2b1/1Q3N2/PP2PPPP/RNB1KB1R w KQk -,1r1qkbnr/pppnpppp/3p4/8/2PP2b1/1Q3N2/PP2PPPP/RNB1KB1R w KQk - 3 5,152,152,1.0,"[{""games"":33,""share"":0.21710526315789475,""uci"":""h2h3""},{""games"":27,""share"":0.17763157894736842,""uci"":""b1c3""},{""games"":24,""share"":0.15789473684210525,""uci"":""e2e4""},{""games"":21,""share"":0.13815789473684212,""uci"":""g2g3""},{""games"":20,""share"":0.13157894736842105,""uci"":""c1f4""},{""games"":15,""share"":0.09868421052631579,""uci"":""b1d2""},{""games"":3,""share"":0.019736842105263157,""uci"":""e2e3""},{""games"":2,""share"":0.013157894736842105,""uci"":""f3d2""},{""games"":2,""share"":0.013157894736842105,""uci"":""c1e3""},{""games"":2,""share"":0.013157894736842105,""uci"":""c1g5""},{""games"":1,""share"":0.006578947368421052,""uci"":""a2a4""},{""games"":1,""share"":0.006578947368421052,""uci"":""d4d5""},{""games"":1,""share"":0.006578947368421052,""uci"":""c1d2""}]",,,21,1.0,0.004663443047435045,0.27793247476505395,152,1.0
1rb1kbnr/pp1p1ppp/3P1qn1/1N6/5P2/8/PPP3PP/R1BQKB1R w KQk -,1rb1kbnr/pp1p1ppp/3P1qn1/1N6/5P2/8/PPP3PP/R1BQKB1R w KQk - 3 12,543,543,1.0,"[{""games"":181,""share"":0.3333333333333333,""uci"":""c1e3""},{""games"":127,""share"":0.23388581952117865,""uci"":""b5c7""},{""games"":116,""share"":0.2136279926335175,""uci"":""d1e2""},{""games"":40,""share"":0.07366482504604052,""uci"":""f1c4""},{""games"":17,""share"":0.03130755064456722,""uci"":""g2g3""},{""games"":17,""share"":0.03130755064456722,""uci"":""b5a7""},{""games"":11,""share"":0.020257826887661142,""uci"":""f1e2""},{""games"":9,""share"":0.016574585635359115,""uci"":""f1d3""},{""games"":5,""share"":0.009208103130755065,""uci"":""c2c4""},{""games"":3,""share"":0.0055248618784530384,""uci"":""g2g4""},{""games"":3,""share"":0.0055248618784530384,""uci"":""f4f5""},{""games"":2,""share"":0.003683241252302026,""uci"":""d1f3""},{""games"":2,""share"":0.003683241252302026,""uci"":""c1d2""},{""games"":2,""share"":0.003683241252302026,""uci"":""h2h4""},{""games"":2,""share"":0.003683241252302026,""uci"":""d1g4""},{""games"":1,""share"":0.001841620626151013,""uci"":""a2a4""},{""games"":1,""share"":0.001841620626151013,""uci"":""d1d4""},{""games"":1,""share"":0.001841620626151013,""uci"":""d1d3""},{""games"":1,""share"":0.001841620626151013,""uci"":""d1d5""},{""games"":1,""share"":0.001841620626151013,""uci"":""b2b3""},{""games"":1,""share"":0.001841620626151013,""uci"":""d1d2""}]",0.01706924288671674,0.817055342847198,181,1.0,0.05153084613969661,0.9881656804733728,543,1.0
1rb2rk1/pp2nppp/2n2q2/3N4/4P3/2P1Q3/PP3PPP/RN2KB1R b KQ -,1rb2rk1/pp2nppp/2n2q2/3N4/4P3/2P1Q3/PP3PPP/RN2KB1R b KQ - 0 11,71,71,1.0,"[{""games"":71,""share"":1.0,""uci"":""e7d5""}]",0.0,0.003480682213713888,71,1.0,0.0,0.003480682213713888,70,1.0
1rb2rk1/pp3ppp/2n2q2/3P4/8/2P1Q3/PP3PPP/RN2KB1R b KQ -,1rb2rk1/pp3ppp/2n2q2/3P4/8/2P1Q3/PP3PPP/RN2KB1R b KQ - 0 12,70,70,1.0,"[{""games"":36,""share"":0.5142857142857142,""uci"":""c8f5""},{""games"":11,""share"":0.15714285714285714,""uci"":""c6e5""},{""games"":10,""share"":0.14285714285714285,""uci"":""c8g4""},{""games"":5,""share"":0.07142857142857142,""uci"":""c8d7""},{""games"":4,""share"":0.05714285714285714,""uci"":""f8e8""},{""games"":2,""share"":0.02857142857142857,""uci"":""c6b4""},{""games"":2,""share"":0.02857142857142857,""uci"":""c6e7""}]",0.06637798267960121,0.995231465367212,70,1.0,,,2,1.0
1rb2rk1/pp3ppp/2n2q2/3n4/4P3/2P1Q3/PP3PPP/RN2KB1R w KQ -,1rb2rk1/pp3ppp/2n2q2/3n4/4P3/2P1Q3/PP3PPP/RN2KB1R w KQ - 0 12,70,70,1.0,"[{""games"":70,""share"":1.0,""uci"":""e4d5""}]",0.06637798267960121,0.995231465367212,70,1.0,0.0,0.003480682213713888,70,1.0
1rb2rk1/pp3ppp/5q2/3P4/1n6/2P1Q3/PP3PPP/RN2KB1R w KQ -,1rb2rk1/pp3ppp/5q2/3P4/1n6/2P1Q3/PP3PPP/RN2KB1R w KQ - 1 13,2,2,1.0,"[{""games"":1,""share"":0.5,""uci"":""f1d3""},{""games"":1,""share"":0.5,""uci"":""c3b4""}]",,,0,0.0,,,2,1.0
1rb2rk1/ppN1nppp/2n2q2/3p4/4P3/2P1Q3/PP3PPP/RN2KB1R w KQ -,1rb2rk1/ppN1nppp/2n2q2/3p4/4P3/2P1Q3/PP3PPP/RN2KB1R w KQ - 1 11,252,252,1.0,"[{""games"":100,""share"":0.3968253968253968,""uci"":""b1d2""},{""games"":71,""share"":0.28174603174603174,""uci"":""c7d5""},{""games"":40,""share"":0.15873015873015872,""uci"":""f1e2""},{""games"":23,""share"":0.09126984126984126,""uci"":""e4d5""},{""games"":9,""share"":0.03571428571428571,""uci"":""f1d3""},{""games"":4,""share"":0.015873015873015872,""uci"":""c7b5""},{""games"":2,""share"":0.007936507936507936,""uci"":""f1b5""},{""games"":2,""share"":0.007936507936507936,""uci"":""b1a3""},{""games"":1,""share"":0.003968253968253968,""uci"":""e4e5""}]",,,23,1.0,0.031773170840600606,0.954368256178211,252,1.0
